County,2011_count,2012_count,2013_count,2014_count,2011_weight,2012_weight,2013_weight,2014_weight,total_heat,total_heat_norm,Hour,latitude,length_of_encounter_seconds,longitude,Autumn,Spring,Summer,Winter,Elongated-Symmetric,Light-Only,Other,Rounded,Tapered,Unknown
"Crawford County, Kansas",0.0,0.0,1.0,0.0,0.0001258325631,0.000125303113,0.0001242113312,0.0001233706429,8050.795288473649,0.013827157718379732,23.0,37.4108333,10.0,-94.7047222,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Crawford County, Michigan",0.0,2.0,0.0,0.0,4.506079362e-05,4.445386353e-05,4.391543041e-05,4.316354537e-05,35992.372157264326,0.061816527267763495,21.0,44.6613889,450.0,-84.7147222,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Crawford County, Ohio",0.0,1.0,4.0,0.0,0.0001390115373,0.0001363026641,0.00013517041,0.0001332292356,35461.5664123419,0.060904873885721536,16.0,40.82423346,255.0,-82.82609294,1.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0
"Crawford County, Pennsylvania",3.0,0.0,3.0,0.0,0.0002829884601,0.0002795453693,0.0002769295586,0.0002738100031,17193.76317172407,0.029530110582773366,21.166666666666668,41.65425925,173.83333333333334,-80.18203706666667,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
"Creek County, Oklahoma",1.0,2.0,1.0,0.0,0.0002267675853,0.0002254716782,0.0002233430497,0.0002216738189,14219.53288156856,0.024421900792413704,21.75,35.943124999999995,1861.25,-96.170902775,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
"Crenshaw County, Alabama",0.0,0.0,1.0,0.0,4.459538903e-05,4.43391521e-05,4.382049181e-05,4.351541356e-05,22820.37372688264,0.0391937560709979,18.0,31.7163889,60.0,-86.2638889,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Crisp County, Georgia",0.0,0.0,1.0,0.0,7.623969163e-05,7.516466108e-05,7.372931452e-05,7.245028894e-05,13563.126234257034,0.02329452915836361,22.0,31.8313889,120.0,-83.7380556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Crittenden County, Arkansas",1.0,0.0,0.0,0.0,0.0001621437504,0.0001595667783,0.0001574050294,0.0001556262744,3700.420142742671,0.006355433358394681,17.0,35.2144444,60.0,-90.1963889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Crockett County, Tennessee",2.0,1.0,0.0,0.0,4.673304047e-05,4.655371989e-05,4.62350968e-05,4.603189947e-05,42862.21279675608,0.0736154075794248,7.333333333333333,35.7847222,201800.33333333334,-89.1172222,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
"Crook County, Oregon",1.0,2.0,1.0,1.0,6.624151711e-05,6.56627314e-05,6.550446739e-05,6.583705195e-05,71474.36360272812,0.12275648093681824,10.8,44.20277778,1092.4,-120.78711108,2.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0
