id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22719649,Private Lakeview Guest Suite,16223902,Michael,Lake City,Matthews Beach,47.71026,-122.27826,Entire home/apt,130,5,69,2023-09-17,0.94,1,37,6,STR-OPLI-19-000118
22734794,Garden Suite w/Parking in Downtown Fremont,65158746,Bryan,Other neighborhoods,Fremont,47.64986,-122.34666,Entire home/apt,129,30,159,2024-01-17,2.13,8,45,6,STR-OPLI-19-001235
22736809,Artist Suite w/Parking in Downtown Fremont,65158746,Bryan,Other neighborhoods,Fremont,47.64986,-122.34666,Entire home/apt,126,2,199,2024-03-13,2.70,8,56,24,STR-OPLI-19-001235
22799378,RA - Brighton Queen Room (Walk to Metro),73484597,Lee,Rainier Valley,Brighton,47.53632,-122.28051,Private room,67,1,96,2024-02-09,1.34,15,330,14,STR-OPLI-19-001223
22799854,RB - Brighton Queen Room (Walk to Metro),73484597,Lee,Rainier Valley,Brighton,47.53649,-122.28024,Private room,67,1,77,2023-09-17,1.05,15,341,7,STR-OPLI-19-001223
22800261,Lower - Brighton Guesthouse (Walk to Metro),73484597,Lee,Rainier Valley,Brighton,47.53656,-122.27962,Private room,,1,5,2021-05-22,0.09,15,362,0,STR-OPLI-19-001223
22808109,Cozy & Private 1BR near Downtown,18220871,Karen,Central Area,Atlantic,47.59903,-122.30595,Entire home/apt,,2,194,2024-02-26,2.63,1,0,62,STR-OPLI-19-002043
22816524,"Spacious Contact-less Apt, Centrally located",115520953,Scott & Marcy,Central Area,Minor,47.60879,-122.30819,Entire home/apt,110,2,245,2024-03-10,3.35,1,51,37,STR-OPLI-20-001090
22867908,"Spacious suite, 1 bdrm, in NE Seattle (Wedgwood)",11984475,Ariana,Other neighborhoods,Wedgwood,47.68503,-122.29601,Entire home/apt,96,2,57,2024-03-24,0.78,1,52,19,STR-OPLI-19-002830
22904624,Jimi Hendrix Park Suite B,3584275,Daniel,Central Area,Atlantic,47.58912,-122.29985,Entire home/apt,77,2,231,2024-03-24,3.10,2,0,3,STR-OPLI-19-000303
22911160,Seattle City Life,26714089,Toni & Mark,Downtown,Belltown,47.61418,-122.35331,Entire home/apt,,180,2,2021-04-30,0.03,1,260,0,
22940882,Capitol Hill 2-Bedroom Penthouse :: Broadcast,169906511,Broadcast,Central Area,Minor,47.61337,-122.31385,Entire home/apt,225,2,306,2024-03-18,4.10,1,151,28,STR-OPLI-19-003102
22956885,"Magical Treehouse #3, pvt bth, Walk to Light Rail",824019,Linda,Beacon Hill,North Beacon Hill,47.57251,-122.29948,Private room,57,3,191,2024-03-11,2.57,1,157,24,STR-OPLI-19-002013
22983501,Crown Hill Master Retreat,170418406,Faith,Other neighborhoods,Crown Hill,47.69381,-122.36768,Private room,81,30,12,2021-07-26,0.17,3,84,0,STR-OPLI-19-002962
23001080,Stylish Room in a Modern Bungalow Just Steps from Light Rail,51002035,Ryan,Rainier Valley,Brighton,47.54175,-122.28165,Private room,81,2,329,2024-03-03,4.40,6,101,39,STR-OPLI-19-002158
23042701,Spacious private room located in a convenient area,4090090,Barry,Central Area,Madrona,47.6173,-122.2929,Private room,45,30,68,2023-12-23,0.91,2,0,5,STR-OPLI-19-002414
23045897,Private Bedroom/townhome! Mins away from station!,62043545,Victor,Rainier Valley,Brighton,47.53339,-122.27888,Entire home/apt,87,1,203,2024-03-13,2.81,1,65,48,STR-OPLI-22-001588
23060625,Stroll to Pikes Market Waterfront Condo With Balcony,171175671,Shirley,Downtown,Pike-Market,47.60888,-122.3437,Entire home/apt,145,1,369,2024-02-20,5.11,1,231,48,STR-OPLI-23-000427
23075059,Emerald City Studio,86157147,Lyle,Downtown,Belltown,47.61806,-122.34553,Entire home/apt,101,3,338,2024-03-11,4.54,18,90,58,STR-OPLI-19-001238
23104353,Walk to Fremont Tech Scene|Wallingford Restaurants,204886779,Jennifer,Other neighborhoods,Wallingford,47.65241,-122.34173,Entire home/apt,168,30,102,2023-10-01,1.38,5,76,3,STR-OPLI-19-002659
23127965,Queen Anne City-view Apartment,32058742,Martha & Josh And Joshua,Queen Anne,East Queen Anne,47.62973,-122.34673,Entire home/apt,110,2,336,2024-03-10,4.72,1,230,51,Str-OPLI-19-000784
23237667,Arboretum Garden Apartment,36631556,Carmen,Capitol Hill,Stevens,47.62616,-122.29617,Entire home/apt,96,2,273,2024-03-21,3.70,1,104,51,STR-OPLI-19-002138
23251165,The Comforts of Home in Capitol Hill,25443995,Alexander,Capitol Hill,Stevens,47.62037006619378,-122.30329690823724,Entire home/apt,194,2,12,2024-03-24,3.56,1,268,12,STR-OPLI-23-001380
23256472,Stunning/Lux Queen Anne Daylight Basement Suite,173100599,Don,Queen Anne,North Queen Anne,47.65191,-122.37184,Entire home/apt,78,30,65,2023-05-14,0.88,6,84,2,
23273138,"Seattle Vacation Home: Thomas Lodge ""Vermont"" - Bright 1 Bed/1 Bath",54812088,Seattle Vacation Home,Central Area,Mann,47.62212,-122.29704,Entire home/apt,159,30,17,2023-11-01,0.25,48,365,2,
23274254,The Grand MIL,8571236,Tareq,Central Area,Madrona,47.61544,-122.28468,Entire home/apt,75,30,37,2023-03-11,0.51,1,235,0,STR-OPLI-19-003294
23275901,Ocean Breeze | Spacious West Seattle Town Home!,139928025,Farinaz,West Seattle,Seaview,47.551407951020266,-122.39795803514228,Entire home/apt,164,1,53,2024-03-23,0.75,1,239,12,STR-OPLI-19-123456
23293234,Come Relax in Our Custom-Built Backyard Cottage,38931617,Jill And Tim,Ballard,Loyal Heights,47.68024,-122.38701,Entire home/apt,165,2,151,2024-01-01,2.44,1,130,40,STR-OPLI-19-001842
23329400,Fremont 2 bedroom unit with 3 beds and 3 large TVs,253059,Marie,Other neighborhoods,Fremont,47.653744038735105,-122.35638262087335,Entire home/apt,102,2,84,2024-02-11,1.17,6,172,6,STR-OPLI-19-000837
23355289,Captain’s Cottage in Ballard  on Corner Lot,6918024,Renee,Ballard,West Woodland,47.67194,-122.36987,Entire home/apt,128,2,107,2023-11-12,1.83,1,135,21,STR-OPLI-19-000192
23409619,Georgetown-House,137485470,Britt,Other neighborhoods,Georgetown,47.54204,-122.32256,Entire home/apt,144,3,183,2024-03-17,2.59,1,108,17,STR-OPLI-19-002240
23414672,Mt. Baker Suite - Free Parking,1529273,Jason,Rainier Valley,Mount Baker,47.5735,-122.2903,Entire home/apt,73,1,233,2024-03-11,3.19,1,297,52,STR-OPLI-19-003138
23451023,Modern Studio in the Heart of the City,25061321,Alex & Jose,Downtown,Belltown,47.61479,-122.34618,Entire home/apt,133,2,461,2024-03-23,6.41,6,0,85,STR-OPLI-19-000355
23469069,Private ❤️ of Queen Anne Cottage:1 Block to QA Ave,78372476,Elta,Queen Anne,East Queen Anne,47.63495,-122.35647,Entire home/apt,85,3,375,2024-03-11,5.09,2,112,62,STR-OPLI-19-000991
23523959,Center UW Fast Internet Spacious 215,3074414,Melissa,University District,University District,47.66298,-122.31444,Entire home/apt,98,30,10,2023-07-24,0.31,111,250,1,STR-OPLI-19-002641
23541178,Waterfront Tuscan villa Apt. 5 Min. from Ballard,175870728,Kay,Other neighborhoods,North Beach/Blue Ridge,47.69849,-122.39957,Entire home/apt,131,30,41,2020-03-01,0.65,1,365,0,STR-OPLI-19-001338
23543030,Seattle Luxury Retreat Home Near the Stadiums,639972,Eric,Beacon Hill,North Beacon Hill,47.58235,-122.31833,Entire home/apt,734,2,187,2024-03-08,2.63,2,251,29,STR-OPLI-19-002955
23548888,Super spacious modern townhome close to downtown,3755315,Suzie,Northgate,Haller Lake,47.7336,-122.34175,Entire home/apt,94,1,512,2024-03-24,6.96,1,0,55,STR-OPLI-19-002255
