id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1008897256688336736,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,12198291,Nick,Capitol Hill,Broadway,47.620393930156936,-122.3181404622414,Entire home/apt,95,90,0,,,1,212,0,
1008990689742346631,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,114258495,Chinwe,Central Area,Atlantic,47.58586142895815,-122.30017638095076,Private room,65,1,2,2023-12-09,1.87,1,262,2,STR-OPLI-23-001416
1009051695038995213,Home in Seattle · ★5.0 · 4 bedrooms · 4 beds · 2 baths,4202600,Feng,Central Area,Minor,47.602514,-122.306114,Entire home/apt,210,1,4,2023-12-10,3.00,1,205,4,STR-OPLI-23-001361
1009193366855839252,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Other neighborhoods,Wallingford,47.6548081,-122.3421263,Entire home/apt,126,31,0,,,389,273,0,
1009385353135243651,Home in Seattle · ★New · 5 bedrooms · 5 beds · 2 baths,181205324,Plushy,Seward Park,Seward Park,47.5504388993395,-122.26967567708965,Entire home/apt,251,2,0,,,2,339,0,STR-BB-OPLI-23-000686
1009476574093484162,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,86433687,Elina,Lake City,Olympic Hills,47.724470875280346,-122.30459816529611,Private room,57,2,1,2023-10-30,0.57,6,89,1,STR-OPLI-22-001889
1009540822839370260,Home in Seattle · ★New · 3 bedrooms · 3 beds · 2 baths,121688409,Evolve,West Seattle,Arbor Heights,47.50955,-122.38756,Entire home/apt,230,2,2,2023-11-24,1.82,54,327,2,STR-OPLI-23-000719
1009654646445151759,Home in Seattle · ★New · 5 bedrooms · 7 beds · 3.5 baths,136820493,Blake,Other neighborhoods,Laurelhurst,47.65764,-122.27201,Entire home/apt,1100,4,0,,,1,171,0,STR-OPLI-23-001393
1009801745296306848,Condo in Seattle · ★New · 2 bedrooms · 2 beds · 3.5 baths,4656446,Air Concierge,Cascade,Westlake,47.63384,-122.34338,Entire home/apt,550,3,1,2023-11-25,1,16,84,1,STR-OPLI-23-001378
1009851697548864244,Rental unit in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Other neighborhoods,Wallingford,47.6548081,-122.3421263,Entire home/apt,126,31,0,,,389,255,0,
1010111880572878516,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,340706410,Vince,Queen Anne,East Queen Anne,47.631,-122.35451,Entire home/apt,102,1,4,2023-12-13,2.55,83,4,4,STR-OPLI-23-001205
1010300306237176979,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,513134349,Binh'An,Other neighborhoods,Greenwood,47.704883701403126,-122.34800326177131,Entire home/apt,103,1,1,2023-11-24,1,3,199,1,STR-OPLI-23-000726
1010351170500668464,Tiny home in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,513134349,Binh'An,Other neighborhoods,Greenwood,47.703434417936805,-122.34873345572002,Entire home/apt,83,1,1,2023-11-17,0.88,3,256,1,STR-OPLI-22-001668
1010370400721870146,Condo in Seattle · ★4.80 · 1 bedroom · 2 beds · 1 bath,386420269,Kathryn,Downtown,Belltown,47.61363,-122.34695,Entire home/apt,99,2,5,2023-12-10,4.17,29,352,5,STR-OPLI-19-002523
1010536049582823782,Home in Seattle · ★New · 3 bedrooms · 3 beds · 2 baths,1728822,Anna,Other neighborhoods,Phinney Ridge,47.672293202173776,-122.34941675068761,Entire home/apt,250,90,0,,,1,216,0,
1010544180063014822,Home in Seattle · ★New · 2 bedrooms · 2 beds · 1 bath,21027066,Sheryl,Other neighborhoods,Wallingford,47.65932,-122.33197,Private room,66,2,2,2023-11-13,1.11,2,259,2,STR-OPLI-23-000939
1010832877009613384,Home in Seattle · ★New · 1 bedroom · 1 bed · 1 bath,86433687,Elina,Lake City,Olympic Hills,47.72441,-122.30435,Private room,49,2,0,,,6,13,0,STR-OPLI-22-001889
1010887958059706841,Rental unit in Seattle · ★4.38 · Studio · 1 bed · 1 bath,534604076,Olivia,Downtown,Central Business District,47.60609,-122.33723,Entire home/apt,113,2,8,2023-12-18,5.85,5,41,8,STR-OPLI-19-001663
