id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29775779,Condo in Seattle · ★4.82 · 1 bedroom · 1 bed · 1 bath,21528698,Tara,Ballard,Adams,47.6751,-122.38769,Entire home/apt,70,30,22,2023-09-08,0.40,1,330,2,
29776840,Guest suite in Seattle · ★4.95 · 2 bedrooms · 3 beds · 1 bath,82377119,Michael,Beacon Hill,North Beacon Hill,47.57805,-122.3045,Entire home/apt,139,2,177,2023-09-12,3.00,1,101,38,STR-OPLI-19-000244
29798397,Home in Seattle · ★4.73 · 1 bedroom · 1 bed · 1 private bath,7611538,Heather,Other neighborhoods,Roosevelt,47.685294891227656,-122.31126046402163,Private room,85,30,49,2023-03-06,0.85,1,341,1,
29848922,Guest suite in Seattle · ★4.90 · 1 bedroom · 1 bed · 1 bath,1028057,Kim,Ballard,Whittier Heights,47.67756,-122.37416,Entire home/apt,87,3,164,2023-09-14,2.86,1,150,31,STR-OPLI-19-001685
29849964,Guest suite in Seattle · ★4.99 · 1 bedroom · 2 beds · 1 bath,3738871,Ashley,Capitol Hill,Broadway,47.62781,-122.32374,Entire home/apt,295,3,109,2023-08-21,2.07,1,82,27,STR-OPLI-19-000222
29877836,Home in Seattle · ★5.0 · 3 bedrooms · 3 beds · 3 baths,224683101,Mark,Ballard,Adams,47.6724,-122.37856,Entire home/apt,300,3,21,2023-09-05,0.41,1,73,11,STR-OPLI-19-000088
29979422,Cottage in Seattle · ★4.99 · 1 bedroom · 1 bed · 1.5 baths,24127926,Rebekah And Jacob,Ballard,Loyal Heights,47.67796,-122.37806,Entire home/apt,171,1,227,2023-09-16,3.90,1,119,105,STR-OPLI-19-002055
30013204,Guest suite in Seattle · ★4.88 · 2 bedrooms · 1 bed · 1 bath,2536,Megan,Central Area,Madrona,47.60962,-122.2912,Entire home/apt,99,30,8,2023-04-15,0.14,1,293,3,
30018439,Condo in Seattle · ★4.97 · 1 bedroom · 1 bed · 1 bath,10697929,Jenn,Downtown,Pike-Market,47.60758,-122.33976,Entire home/apt,250,7,77,2023-09-02,1.34,1,205,14,STR-OPLI-19-000704
30024068,Rental unit in Seattle · ★4.26 · 1 bedroom · 2 beds · 1 bath,3074414,Melissa,University District,University District,47.65858,-122.31625,Entire home/apt,125,30,19,2023-08-12,0.66,117,105,8,STR-OPLI-19-002570
30044981,Guesthouse in Seattle · ★4.91 · 2 bedrooms · 3 beds · 1 bath,8186843,Alyson,Other neighborhoods,Green Lake,47.68387,-122.32977,Entire home/apt,170,2,93,2023-08-31,1.58,2,218,19,STR-OPLI-19-001980
30093335,Guest suite in Seattle · ★4.95 · 2 bedrooms · 2 beds · 1 bath,1845341,Devin,Rainier Valley,Mount Baker,47.57391,-122.28745,Entire home/apt,145,1,198,2023-09-17,3.45,1,40,47,STR-OPLI-19-000695
30113499,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,75658917,Mindy,Capitol Hill,Stevens,47.62344,-122.30576,Entire home/apt,125,4,123,2023-09-10,2.10,1,183,30,STR-OPLI-20-001074
